branch,verdict,last_author_date
claude/determined-maxwell-3vgs17,CLOSE-ORPHANED,2026-07-09
claude/determined-maxwell-3z56dm,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-4dxv0e,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-4k7sox,CLOSE-ORPHANED,2026-07-31
claude/determined-maxwell-4ky0tz,CLOSE-ORPHANED,2026-07-14
claude/determined-maxwell-4l1ghl,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-4nb64a,CLOSE-ORPHANED,2026-07-02
claude/determined-maxwell-4thx4d,CLOSE-ORPHANED,2026-07-10
claude/determined-maxwell-5593h9,CLOSE-ORPHANED,2026-07-02
claude/determined-maxwell-5c11cx,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-5k80n4,CLOSE-ORPHANED,2026-07-20
claude/determined-maxwell-5t91o2,CLOSE-ORPHANED,2026-08-02
claude/determined-maxwell-61nzcv,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-6rg53d,CLOSE-ORPHANED,2026-07-09
claude/determined-maxwell-6ssl0l,CLOSE-ORPHANED,2026-07-27
claude/determined-maxwell-7c9b1r,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-7l7uv0,CLOSE-ORPHANED,2026-07-23
claude/determined-maxwell-7p4us0,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-7vrh8v,CLOSE-ORPHANED,2026-06-28
claude/determined-maxwell-7wu0ng,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-7xje6x,CLOSE-ORPHANED,2026-07-28
claude/determined-maxwell-81rne1,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-82cm3w,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-8p5n7u,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-92049h,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-9cogca,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-9erquc,CLOSE-ORPHANED,2026-07-18
claude/determined-maxwell-9ld7rc,CLOSE-ORPHANED,2026-07-15
claude/determined-maxwell-9qcq2r,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-9qx6ue,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-9wecpk,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-a6apnm,CLOSE-ORPHANED,2026-07-03
claude/determined-maxwell-aacju9,CLOSE-ORPHANED,2026-07-04
claude/determined-maxwell-ayuxew,CLOSE-ORPHANED,2026-07-14
claude/determined-maxwell-bfoiqr,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-bloicm,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-bmfsgm,CLOSE-ORPHANED,2026-07-02
claude/determined-maxwell-bowgqi,CLOSE-ORPHANED,2026-07-15
claude/determined-maxwell-brk70z,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-cmkdxq,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-dczolv,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-e0iuif,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-e1ur8w,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-e8uv5v,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-e9hha1,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-en9kru,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-ey01vy,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-f02xls,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-fuumwi,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-g31z0u,CLOSE-ORPHANED,2026-07-18
claude/determined-maxwell-g6w2ay,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-gfxhok,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-gvupbt,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-h7gz7l,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-h904ct,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-hli561,CLOSE-ORPHANED,2026-07-03
claude/determined-maxwell-hu0rea,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-i68kve,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-ilpxq0,CLOSE-ORPHANED,2026-07-23
claude/determined-maxwell-iox2ok,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-ip1f59,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-jm8plv,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-kaypem,CLOSE-ORPHANED,2026-07-08
claude/determined-maxwell-kdbbzs,CLOSE-ORPHANED,2026-07-03
claude/determined-maxwell-klo4xc,CLOSE-ORPHANED,2026-07-21
claude/determined-maxwell-kpfd1c,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-l4kzow,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-ldvlx6,CLOSE-ORPHANED,2026-06-29
claude/determined-maxwell-ldye72,CLOSE-ORPHANED,2026-07-15
claude/determined-maxwell-lxth4b,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-mhgrjd,CLOSE-ORPHANED,2026-07-29
claude/determined-maxwell-mij7u9,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-msnh15,CLOSE-ORPHANED,2026-07-04
claude/determined-maxwell-n1dpmx,CLOSE-ORPHANED,2026-07-15
claude/determined-maxwell-nb1zz3,CLOSE-ORPHANED,2026-06-29
claude/determined-maxwell-nbnstz,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-o4am5t,CLOSE-ORPHANED,2026-07-29
claude/determined-maxwell-omtz6j,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-ostftd,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-p4s1gj,CLOSE-ORPHANED,2026-07-11
claude/determined-maxwell-p5akc5,CLOSE-ORPHANED,2026-08-02
claude/determined-maxwell-p6cak6,CLOSE-ORPHANED,2026-07-11
claude/determined-maxwell-p9v5qd,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-pcaeli,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-pduakf,CLOSE-ORPHANED,2026-07-15
claude/determined-maxwell-ptx784,CLOSE-ORPHANED,2026-07-27
claude/determined-maxwell-pzoqq8,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-q4p6rk,CLOSE-ORPHANED,2026-07-04
claude/determined-maxwell-qfkbc0,CLOSE-ORPHANED,2026-07-27
claude/determined-maxwell-qkp0n8,CLOSE-ORPHANED,2026-07-31
claude/determined-maxwell-r5qzbp,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-r838un,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-rn9d53,CLOSE-ORPHANED,2026-07-15
claude/determined-maxwell-s49460,CLOSE-ORPHANED,2026-07-15
claude/determined-maxwell-sdzggo,CLOSE-ORPHANED,2026-07-31
claude/determined-maxwell-shjn00,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-t6hfkk,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-tbufwf,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-u7kfre,CLOSE-ORPHANED,2026-07-14
claude/determined-maxwell-ubh3hf,CLOSE-ORPHANED,2026-07-06
claude/determined-maxwell-ubv6b6,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-udy1ne,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-uql65l,CLOSE-ORPHANED,2026-07-28
claude/determined-maxwell-uybuwc,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-vkacey,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-vupf5j,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-w20w27,CLOSE-ORPHANED,2026-07-11
claude/determined-maxwell-xyhnam,CLOSE-ORPHANED,2026-07-07
claude/determined-maxwell-yre7nw,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-z1fkxw,CLOSE-ORPHANED,2026-07-23
claude/evaluate-unused-folders,CLOSE-ORPHANED,2026-07-03
claude/explore-codebase-implementation-plan,CLOSE-ORPHANED,2026-06-19
claude/help-github-docs-page,CLOSE-ORPHANED,2026-06-18
claude/prompt-start-subagents-for-action,CLOSE-ORPHANED,2026-07-07
claude/repo-architecture-review-Aewa3,CLOSE-ORPHANED,2026-06-29
claude/review-session-history-tips,CLOSE-ORPHANED,2026-06-21
coderabbitai/utg/c89b9b7,CLOSE-ORPHANED,2026-07-03
coderabbitai/utg/e30d1ce,CLOSE-ORPHANED,2026-07-03
codex/establish-autonomous-governance,CLOSE-ORPHANED,2026-07-20
codex/myx-51-proxy-hardening,CLOSE-ORPHANED,2026-07-03
codex/pr877-postmerge-remediation,CLOSE-ORPHANED,2026-07-27
codex/pr877-postmerge-remediation-10186041658105794493,CLOSE-ORPHANED,2026-07-23
codex/restore-google-oauth-config,CLOSE-ORPHANED,2026-07-20
codex/uvai-studio-realtime,CLOSE-ORPHANED,2026-06-08
copilot/29934228828,CLOSE-ORPHANED,2026-07-22
copilot/9tavevksgvhued9nuvqyvtrpadnd,CLOSE-ORPHANED,2026-07-07
copilot/complete-repo,CLOSE-ORPHANED,2026-06-28
copilot/develop,CLOSE-ORPHANED,2026-07-22
copilot/explore-codebase-optimizations,CLOSE-ORPHANED,2026-07-27
copilot/find-uvai-projects-and-test-repos,CLOSE-ORPHANED,2026-06-19
copilot/fix-agent-completion-enforcement,CLOSE-ORPHANED,2026-07-24
copilot/fix-api-integration-issue,CLOSE-ORPHANED,2026-07-19
copilot/fix-commit-and-merge,CLOSE-ORPHANED,2026-07-22
copilot/fix-copilot-action-error,CLOSE-ORPHANED,2026-07-22
copilot/fix-copilot-failures,CLOSE-ORPHANED,2026-07-23
copilot/fix-event-relay-issues,CLOSE-ORPHANED,2026-07-22
copilot/fix-failing-actions,CLOSE-ORPHANED,2026-07-22
copilot/fix-misconfiguration-issue,CLOSE-ORPHANED,2026-07-17
copilot/fix-payload-parameter-issue,CLOSE-ORPHANED,2026-07-31
copilot/fix-placeholder-responses,CLOSE-ORPHANED,2026-07-07
copilot/fix-web-lockfile-issue,CLOSE-ORPHANED,2026-07-07
copilot/fix-with-copilot,CLOSE-ORPHANED,2026-07-22
copilot/fix-with-copilot-again,CLOSE-ORPHANED,2026-07-22
copilot/fix-with-copilot-another-one,CLOSE-ORPHANED,2026-07-22
copilot/inspect-and-resolve-issue,CLOSE-ORPHANED,2026-07-17
copilot/jules-5495098003656491952-178ff50c,CLOSE-ORPHANED,2026-07-23
copilot/list-latest-open-pull-requests,CLOSE-ORPHANED,2026-06-28
copilot/loop-build-next-item-on-plan,CLOSE-ORPHANED,2026-06-22
copilot/performance-investigation,CLOSE-ORPHANED,2026-07-23
copilot/refactorhybrid-infra-v2-another-one,CLOSE-ORPHANED,2026-07-07
copilot/reference-29387579436,CLOSE-ORPHANED,2026-07-15
copilot/replace-placeholder-send-request-implementations,CLOSE-ORPHANED,2026-07-07
copilot/replace-placeholder-with-openai-anthropic-and-gemi,CLOSE-ORPHANED,2026-07-06
copilot/resolve-reference-29551032718,CLOSE-ORPHANED,2026-07-17
copilot/set-up-load-testing-environment,CLOSE-ORPHANED,2026-07-07
copilot/update-event-relay-commit,CLOSE-ORPHANED,2026-07-12
copilot/upgrade-sentry-nextjs-version,CLOSE-ORPHANED,2026-07-07
copilot/wire-stainless-sdk-into-api-calls,CLOSE-ORPHANED,2026-07-07
execution-verify-google-oauth-in-vercel-production-pr-grv-88-95ec,CLOSE-ORPHANED,2026-07-28
feat-use-crypto-uuid-mcp-extractors-1792204326380299787,CLOSE-ORPHANED,2026-07-09
feat/sentry-nextjs,CLOSE-ORPHANED,2026-06-16
feat/vera-platform,CLOSE-ORPHANED,2026-06-19
feature/implement-mcp-orchestrator-execution-7365924146265499223,CLOSE-ORPHANED,2026-07-27
fix-api-cost-notifications-17019008512322578877,CLOSE-ORPHANED,2026-07-17
fix-sql-injection-694727443155089718,CLOSE-ORPHANED,2026-07-21
fix-sql-injection-innovation-dashboard-2441357465350856795,CLOSE-ORPHANED,2026-07-21
fix-ssl-verification-14087089150067492378,CLOSE-ORPHANED,2026-07-21
fix-ssl-verification-8459614219617171993,CLOSE-ORPHANED,2026-07-14
fix/agentic-workflow-noop-terminal-state-1091,CLOSE-ORPHANED,2026-07-31
fix/auth-google-env-precedence,CLOSE-ORPHANED,2026-07-28
fix/brace-expansion-override-floors,CLOSE-ORPHANED,2026-07-30
fix/centralized-transcript-proxy-1087,CLOSE-ORPHANED,2026-07-31
fix/drop-phantom-python-jose,CLOSE-ORPHANED,2026-08-01
fix/pipeline-transcript-abort-fallback,CLOSE-ORPHANED,2026-07-29
fix/ralph-max-unclosed-demo-verification,CLOSE-ORPHANED,2026-06-19
fix/sql-injection-uvai-mcp-3635811407062686435,CLOSE-ORPHANED,2026-07-21
fix/ssl-context-vulnerability-339192204152313471,CLOSE-ORPHANED,2026-07-14
fix/unified-ai-sdk-retry-logic-9463596296568156311,CLOSE-ORPHANED,2026-07-17
fix/video-processor-pipeline-stubs,CLOSE-ORPHANED,2026-06-20
fix/ytdlp-download-errors,CLOSE-ORPHANED,2026-07-14
groupthinking-fix-agent-gate-applicability,CLOSE-ORPHANED,2026-08-01
groupthinking-fix-apps-web-lockfile-drift,CLOSE-ORPHANED,2026-07-30
groupthinking-fix-gitleaks-lockfile-false-positive,CLOSE-ORPHANED,2026-08-01
groupthinking-fix-proxy-credential-leakage-and-vacuous,CLOSE-ORPHANED,2026-07-31
groupthinking-fix-truth-gate-and-one-click-deploy,CLOSE-ORPHANED,2026-08-01
groupthinking-issue-triage-priority-fixes,CLOSE-ORPHANED,2026-08-01
groupthinking-patch-1,CLOSE-ORPHANED,2026-07-22
jules-10052537357683796690-4b414bf2,CLOSE-ORPHANED,2026-07-22
jules-12356548241704752495-3bde6b1d,CLOSE-ORPHANED,2026-07-27
jules-14621095376073933587-506584da,CLOSE-ORPHANED,2026-07-21
jules-15243187445261469621-ffdb089e,CLOSE-ORPHANED,2026-07-28
jules-16114574054034633582-24106047,CLOSE-ORPHANED,2026-07-17
jules-16956857968710046401-f9d5380b,CLOSE-ORPHANED,2026-07-27
jules-17777940839649608045-490ff2bd,CLOSE-ORPHANED,2026-07-27
jules-1892762060881911102-099062c8,CLOSE-ORPHANED,2026-07-17
jules-2208226896713623970-489e4637,CLOSE-ORPHANED,2026-07-21
jules-2315565067636360607-33125800,CLOSE-ORPHANED,2026-07-14
jules-2699333998357810880-b5bf4fe2,CLOSE-ORPHANED,2026-07-21
jules-348407815784084824-9d2bde61,CLOSE-ORPHANED,2026-07-14
jules-3490404254746687522-e8d41571,CLOSE-ORPHANED,2026-07-21
jules-5495098003656491952-178ff50c,CLOSE-ORPHANED,2026-07-23
jules-6360156794036608515-c0e89156,CLOSE-ORPHANED,2026-08-03
jules-7350580235812023711-6bbd4f1a,CLOSE-ORPHANED,2026-07-28
jules-7793714024128700837-68e8da47,CLOSE-ORPHANED,2026-07-21
jules-7975870365122853693-d93780a1,CLOSE-ORPHANED,2026-06-21
jules-8463579903470851495-195fc0b5,CLOSE-ORPHANED,2026-07-29
jules-9638972698930112439-d2c4ab7c,CLOSE-ORPHANED,2026-07-07
jules-bolt-interactive-transcript-2241025088926726400,CLOSE-ORPHANED,2026-07-17
jules-performance-grok-async-13181522220485004404,CLOSE-ORPHANED,2026-07-17
jules-refactor-cloud-endpoints-15392513722284013717,CLOSE-ORPHANED,2026-07-12
jules-security-md5-mitigation-9776717496752801111,CLOSE-ORPHANED,2026-07-12
jules/resolve-draft-audit-17235039707557018585,CLOSE-ORPHANED,2026-07-15
palette-a11y-improvements-8526728425873563248,CLOSE-ORPHANED,2026-07-11
palette-add-aria-label-search-input-11565478109907226861,CLOSE-ORPHANED,2026-07-14
palette/a11y-video-generator-15541785465389385126,CLOSE-ORPHANED,2026-07-11
palette/dashboard-a11y-focus-13522420836634214970,CLOSE-ORPHANED,2026-08-01
palette/dashboard-accessibility-8216739090300641563,CLOSE-ORPHANED,2026-07-27
ralph-max-final2,CLOSE-ORPHANED,2026-06-18
ralph-max-final3,CLOSE-ORPHANED,2026-06-18
ralph-max-final4,CLOSE-ORPHANED,2026-06-18
refactor-skill-registry-di-5907113418432710467,CLOSE-ORPHANED,2026-07-14
refactor-stream-handler-9233370667506742960,CLOSE-ORPHANED,2026-07-12
sentinel-fix-error-leakage-1121709532317009963,CLOSE-ORPHANED,2026-08-01
sentinel-fix-infodisclosure-codegenerator-4053805493819656242,CLOSE-ORPHANED,2026-07-19
sentinel-security-fix-md5-6305435416460063457,CLOSE-ORPHANED,2026-07-17
test-index-analysis-grade-5389899992828549898,CLOSE-ORPHANED,2026-07-07
test/billing-chat-gating-1116,CLOSE-ORPHANED,2026-07-30
test/weight-persistence-15252431174567993674,CLOSE-ORPHANED,2026-07-21
testing-and-production-launch-prep-4613142473161012757,CLOSE-ORPHANED,2026-07-21
v0/ultrathinking-14b534ae,CLOSE-ORPHANED,2026-07-08
v0/ultrathinking-2b862801,CLOSE-ORPHANED,2026-06-29
v0/ultrathinking-48361bf4,CLOSE-ORPHANED,2026-06-29
v0/ultrathinking-588aba59,CLOSE-ORPHANED,2026-06-02
v0/ultrathinking-6aaf1beb,CLOSE-ORPHANED,2026-06-29
v0/ultrathinking-6aaf1beb-2,CLOSE-ORPHANED,2026-06-29
v0/ultrathinking-8ff3a2ce,CLOSE-ORPHANED,2026-06-17
v0/ultrathinking-9fd5992d,CLOSE-ORPHANED,2026-07-09
v0/ultrathinking-a2a8b20e,CLOSE-ORPHANED,2026-07-03
v0/ultrathinking-c81b3cdf,CLOSE-ORPHANED,2026-07-11
addressing-issues-grv-194-a1c2,KEEP-OPEN-PR,2026-08-04
bolt/optimize-workflow-latest-iso-5209698121814795090,KEEP-OPEN-PR,2026-08-02
claude/agentharden-api-cost-outbox,KEEP-OPEN-PR,2026-08-04
claude/automation-repository-drift-report,KEEP-OPEN-PR,2026-08-04
claude/determined-maxwell-j5mdyu,KEEP-OPEN-PR,2026-07-21
claude/determined-maxwell-j8w4lt,KEEP-OPEN-PR,2026-08-02
claude/determined-maxwell-raq7mg,KEEP-OPEN-PR,2026-08-02
claude/determined-maxwell-rswptp,KEEP-OPEN-PR,2026-08-04
claude/event-relay-blockers-1k020k,KEEP-OPEN-PR,2026-08-05
dependabot/github_actions/actions/checkout-7.0.1,KEEP-OPEN-PR,2026-08-04
dependabot/github_actions/github/gh-aw-actions/setup-0.84.0,KEEP-OPEN-PR,2026-08-04
dependabot/npm_and_yarn/apps/web/openai-7.1.0,KEEP-OPEN-PR,2026-08-04
dependabot/npm_and_yarn/openai-7.1.0,KEEP-OPEN-PR,2026-08-04
execution-enforce-cloud-tasks-authentication-before-grv-198-fba7,KEEP-OPEN-PR,2026-08-04
fix-auth-gate-fail-open,KEEP-OPEN-PR,2026-08-02
fix-flaky-chat-billing-test,KEEP-OPEN-PR,2026-08-02
fix/dockerfile-production-hardening-1121,KEEP-OPEN-PR,2026-08-01
groupthinking-bigquery-export-coverage,KEEP-OPEN-PR,2026-08-02
groupthinking-fix-brace-expansion-override-floors,KEEP-OPEN-PR,2026-08-02
groupthinking-skill-dispatch-regression-tests,KEEP-OPEN-PR,2026-08-02
jules-refactor-inline-errors-8256439203984646776,KEEP-OPEN-PR,2026-08-02
one-click-deploysh-is-non-functional-stale-precheck-grv-195-77d4,KEEP-OPEN-PR,2026-08-04
perf-metrics_recorded-overcounts-non-numeric-samples-grv-308-efbc,KEEP-OPEN-PR,2026-08-04
perf/blocking-io-executor-isolation-1234,KEEP-OPEN-PR,2026-08-02
perf/status-cache-glob-offload-1231,KEEP-OPEN-PR,2026-08-02
sentinel/fix-code-gen-info-disclosure-4711205736159086816,KEEP-OPEN-PR,2026-08-02
test/dns-gate-vacuity-914,KEEP-OPEN-PR,2026-08-02
test/transcript-search-regression-908,KEEP-OPEN-PR,2026-08-02
agent-completiontruth-gate-is-permanently-unsatisfiable-grv-196-8883,REVIEW-SHARED,2026-08-04
claude/determined-maxwell-03lus6,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-2frkmc,REVIEW-SHARED,2026-08-01
claude/determined-maxwell-33gxdg,REVIEW-SHARED,2026-08-04
claude/determined-maxwell-4gzjlq,REVIEW-SHARED,2026-08-04
claude/determined-maxwell-56ir7p,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-6q4s34,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-70t6tf,REVIEW-SHARED,2026-08-03
claude/determined-maxwell-7ljegg,REVIEW-SHARED,2026-08-03
claude/determined-maxwell-9t5kou,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-a9n93o,REVIEW-SHARED,2026-08-04
claude/determined-maxwell-b1npnt,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-c3g14j,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-ef6pqu,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-g9x8i1,REVIEW-SHARED,2026-08-04
claude/determined-maxwell-gbxcgj,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-gy6tub,REVIEW-SHARED,2026-08-03
claude/determined-maxwell-ihwn4o,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-l04xha,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-le4432,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-lv8mlc,REVIEW-SHARED,2026-08-02
claude/determined-maxwell-u91xgx,REVIEW-SHARED,2026-08-01
claude/determined-maxwell-vunivy,REVIEW-SHARED,2026-08-04
claude/determined-maxwell-x3ui2m,REVIEW-SHARED,2026-08-03
claude/determined-maxwell-xqcnit,REVIEW-SHARED,2026-08-02
codex/fix-brace-expansion-oom-vulnerability,REVIEW-SHARED,2026-08-04
fix/truth-gate-surface-collection-errors,REVIEW-SHARED,2026-08-03
groupthinking-secure-cloud-ai-local-image-paths,REVIEW-SHARED,2026-08-03
land-pr-1270-fixsecurity-neutralize-crlf-in-rendered-grv-295-ffc0,REVIEW-SHARED,2026-08-04
